"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.245416667E-2,6.452004862E-1,-6.886990929E-1,-8.088517731E-1
2.243216667E-2,7.935487327E-1,-7.840002295E-1,-9.977367193E-1
3.241116667E-2,6.843177742E-1,-7.883976281E-1,-1.010941486E0
4.239016667E-2,4.085420340E-1,-7.255020529E-1,-9.061149430E-1
5.236816667E-2,1.433035612E-2,-6.162342569E-1,-7.090403867E-1
6.234716667E-2,-4.340744859E-1,-4.913014778E-1,-4.926121312E-1
7.232516667E-2,-9.510019711E-1,-2.787475875E-1,-3.598855984E-1
8.230316667E-2,-1.277371037E0,2.654723614E-2,-1.012375224E-1
9.228216667E-2,-1.367193040E0,3.688721842E-1,2.286430889E-1
1.022601667E-1,-1.447939726E0,6.088895693E-1,3.605738157E-1
1.122381667E-1,-1.509932930E0,6.153001642E-1,2.470939779E-1
1.222171667E-1,-1.341554900E0,4.026217282E-1,1.125507152E-1
1.321951667E-1,-8.097075132E-1,1.709950975E-1,5.351664126E-2
1.421731667E-1,-8.864627436E-2,-7.658273757E-2,2.392329812E-2
1.521521667E-1,4.460703412E-1,-3.449348527E-1,-1.113309860E-1
1.621301667E-1,6.895495704E-1,-5.917826629E-1,-3.504856145E-1
1.721081667E-1,7.607828365E-1,-6.542411587E-1,-3.506370574E-1
1.820871667E-1,7.446280029E-1,-5.266853186E-1,-1.314220190E-1
1.920661667E-1,7.982025316E-1,-3.569675454E-1,-8.081963003E-2
2.020441667E-1,8.822793531E-1,-1.654028204E-1,-1.481737071E-1
2.120221667E-1,8.320250197E-1,-1.081980479E-1,-1.612369716E-2
2.220011667E-1,4.685834371E-1,-2.505628386E-1,3.201596153E-1
2.319791667E-1,-1.830032319E-2,-2.233323553E-1,7.499697268E-1
2.419571667E-1,-1.051401003E-1,-5.709396780E-2,1.035110952E0
2.519361667E-1,1.941472940E-1,-1.718759805E-2,9.403492212E-1
2.619141667E-1,4.658432856E-1,-2.122808254E-1,4.960543871E-1
2.718931667E-1,3.211184125E-1,-4.093162054E-1,3.084698617E-2
2.818711667E-1,4.358469231E-1,-4.668703490E-1,-1.220039088E-1
2.918491667E-1,1.506861095E-1,-4.685736430E-1,-1.298561347E-1
3.018281667E-1,-1.953953822E-1,-3.220636149E-1,-1.646920913E-1
3.118061667E-1,-2.145681100E-1,-2.276173411E-1,-3.917160863E-1
3.217841667E-1,-1.987687871E-2,-4.781924589E-1,-7.003952783E-1
3.317631667E-1,-6.568463856E-1,-9.291871789E-1,-5.991893309E-1
3.417411667E-1,-2.618190211E-1,-6.432327519E-1,-4.876759118E-1
3.517191667E-1,-8.258461207E-1,-8.280382419E-1,-2.536112845E-1
3.616981667E-1,-5.788515455E-1,-4.918031690E-1,-2.167030746E-1
3.716761667E-1,-3.428029579E-1,-1.045042156E-1,-6.995094252E-1
3.816541667E-1,-6.746590510E-1,3.824941501E-2,-1.333751060E0
3.916331667E-1,-9.845516865E-1,1.934329104E-1,-1.969175001E0
4.016111667E-1,-9.885600990E-1,1.703615516E-1,-2.296319116E0
4.115891667E-1,-8.290956377E-1,-1.643754646E-2,-2.445182210E0
4.215681667E-1,-8.427356569E-1,-1.722005010E-1,-2.575699664E0
4.315461667E-1,-8.432431953E-1,-1.851732798E-1,-2.737367576E0
4.415241667E-1,-7.292760652E-1,-8.347872443E-2,-2.680543749E0
4.515031667E-1,-6.160123551E-1,-8.409882165E-2,-1.674509246E0
4.614811667E-1,-3.678822871E-1,-5.199798048E-1,1.004753963E0
4.714601667E-1,1.099781450E0,-1.243840764E0,2.806659420E0
4.814381667E-1,2.711950314E0,-1.383717564E0,1.873907486E0
4.914161667E-1,2.922551527E0,-1.183624602E0,2.861884618E-1
5.013951667E-1,1.621427638E0,-1.154999265E0,-7.914171302E-1
5.113731667E-1,1.119032823E0,-1.603048962E0,-1.712886862E0
5.213511667E-1,4.593392449E-1,-1.572188381E0,-1.677130553E0
5.313301667E-1,-5.900096409E-2,-7.663818379E-1,1.088757986E0
5.413081667E-1,-2.242726241E-1,-1.435111374E-2,1.043346756E0
5.512861667E-1,-8.331612068E-1,3.207237985E-1,4.145909786E-1
5.612651667E-1,-1.507115888E0,3.167129740E-1,3.289894956E-1
5.712431667E-1,-1.574921954E-1,2.261694244E0,-1.810188623E0
5.812211667E-1,-1.683266183E0,2.732644780E0,-3.210137181E0
5.912001667E-1,-1.734467911E0,1.476735655E0,-4.527883826E0
6.011781667E-1,-9.500164229E-1,2.242830249E0,-4.142495597E0
6.111561667E-1,-3.726074586E-1,3.710483716E0,-2.526252685E0
6.211351667E-1,4.157354615E-1,3.398543825E0,-2.185292770E0
6.311131667E-1,1.152286669E-1,2.641486688E0,-1.451486501E0
6.410921667E-1,1.752530399E-1,2.161823508E0,-1.162407761E0
6.510701667E-1,2.469855121E-1,2.367473883E0,-1.068998491E0
6.610481667E-1,1.170755465E-1,2.603688239E0,-1.049416750E0
6.710271667E-1,9.460740108E-2,2.587036246E0,-1.217082151E0
6.810051667E-1,6.077147541E-1,2.444300596E0,-1.347593173E0
6.909831667E-1,1.249237890E0,2.206926591E0,-1.150518617E0
7.009621667E-1,1.545922688E0,1.948409492E0,-6.679005468E-1
7.109401667E-1,1.793050434E0,1.760640487E0,-2.878595960E-1
7.209181667E-1,1.698622579E0,1.792212674E0,-3.282884145E-1
7.308971667E-1,1.452501578E0,2.069244542E0,-5.965311867E-1
7.408751667E-1,1.250079596E0,2.473016126E0,-8.593424803E-1
7.508531667E-1,1.061059287E0,2.870672106E0,-1.014450985E0
7.608321667E-1,1.096509859E0,3.233259118E0,-8.997408932E-1
7.708101667E-1,1.931635000E0,3.598825871E0,-7.142052323E-1
7.807881667E-1,2.814749043E0,3.614200248E0,-6.765228510E-1
7.907671667E-1,2.917593965E0,3.215924755E0,-7.182748944E-1
8.007451667E-1,2.846280738E0,2.485913621E0,-5.482080424E-1
8.107241667E-1,2.897031354E0,1.747307374E0,-1.248626125E-1
8.207021667E-1,2.564087679E0,1.309350336E0,3.209378797E-1
8.306801667E-1,1.839043171E0,1.292311842E0,5.750192803E-1
8.406591667E-1,1.301933436E0,1.634333466E0,5.871674556E-1
8.506371667E-1,1.494962157E0,2.166008068E0,5.597925460E-1
8.606151667E-1,1.801264456E0,2.605416091E0,6.406250399E-1
8.705941667E-1,1.988322878E0,2.598798797E0,7.349716187E-1
8.805721667E-1,2.229505029E0,2.049175729E0,8.237329370E-1
8.905501667E-1,2.242724414E0,1.382153726E0,1.248685766E0
9.005291667E-1,1.745047279E0,9.400456046E-1,1.826791792E0
9.105071667E-1,1.100483847E0,7.528002908E-1,2.431876870E0
9.204851667E-1,5.394530064E-1,6.603715988E-1,2.738046438E0
9.304641667E-1,-3.643012695E-2,7.037444173E-1,2.677292697E0
9.404421667E-1,-4.697648670E-1,8.416287790E-1,2.827738633E0
9.504211667E-1,-3.730972360E-1,7.691181886E-1,3.287230380E0
9.603991667E-1,-1.006495848E-2,3.904928488E-1,3.765481165E0
9.703771667E-1,6.101503021E-1,-2.254991873E-1,3.825380627E0
9.803561667E-1,9.877374689E-1,-9.673380683E-1,3.501491073E0
9.903341667E-1,9.009625228E-1,-1.569875369E0,2.929708226E0
1.000312167E0,4.836338778E-1,-1.729754178E0,2.548587880E0
1.010291167E0,1.899712126E-1,-1.627698192E0,2.760003317E0
1.020269167E0,-3.178067688E-2,-1.613420753E0,3.237179384E0
1.030246917E0,-9.425295018E-2,-1.842182687E0,3.416005949E0
1.040225917E0,-4.094450634E-1,-1.949650710E0,3.118959208E0
1.050203917E0,-5.670212395E-1,-1.994192314E0,2.718892713E0
1.060181917E0,-4.446203779E-1,-2.199847367E0,2.272471831E0
1.070160917E0,-1.420551807E-1,-2.374367750E0,2.269175756E0
1.080138917E0,7.008326501E-3,-2.411020437E0,2.822452165E0
1.090117917E0,7.082688466E-2,-2.575286559E0,2.660196024E0
1.100095917E0,1.373659421E-3,-2.627562421E0,1.753968229E0
1.110073917E0,-2.111909044E-1,-2.361948557E0,1.218041679E0
1.120052917E0,-7.965505470E-1,-1.942359670E0,1.218015951E0
1.130030917E0,-1.476466683E0,-1.581541733E0,1.445215362E0
1.140008917E0,-1.521305910E0,-1.179528116E0,1.633800931E0
1.149987917E0,-9.979941429E-1,-8.392035002E-1,1.512655978E0
1.159965917E0,-2.553917617E-2,-6.499840933E-1,7.069073224E-1
1.169943917E0,6.284023127E-1,-6.223612618E-1,-1.639120728E-1
1.179922917E0,8.116385561E-1,-5.836711130E-1,-6.512745738E-1
1.189900917E0,6.929162510E-1,-5.860722721E-1,-5.075915283E-1
1.199879917E0,-5.487860397E-2,-5.269165760E-1,-1.276154816E-1
1.209857917E0,-1.009351190E0,-3.469138429E-1,-5.205600679E-2
1.219835917E0,-1.690654140E0,-1.425320211E-1,1.439847618E-1
1.229814917E0,-1.622760511E0,1.019731021E-1,4.069714719E-1
1.239792917E0,-1.182672894E0,4.235185075E-1,2.856242055E-1
1.249770917E0,-7.811064425E-1,7.369614261E-1,1.615363491E-1
1.259749917E0,-4.187210132E-1,9.633743870E-1,-6.378727555E-3
1.269727917E0,-9.276910957E-2,1.115529463E0,-2.067055053E-1
1.279705917E0,3.615399219E-1,1.194155510E0,-5.210857326E-1
1.289684917E0,4.266138773E-1,1.457086380E0,-7.797297156E-1
1.299662917E0,1.909381959E-1,1.908389686E0,-8.019134670E-1
1.309641917E0,1.602242339E-1,2.264744736E0,-3.680933350E-1
1.319619917E0,1.736164042E-1,2.233305427E0,1.535367733E-1
1.329597917E0,1.325053619E-1,1.828659977E0,2.043069774E-1
1.339576917E0,-1.787645853E-1,1.727204939E0,-5.376117182E-1
1.349554917E0,-4.031930742E-1,1.867110390E0,-9.818071496E-1
1.359532917E0,-1.789534503E-1,1.906410111E0,-8.361740577E-1
1.369511917E0,4.799716204E-1,2.053568742E0,-5.219704163E-1
1.379489917E0,8.146742843E-1,2.250410287E0,-1.024297696E-1
1.389467917E0,5.723965117E-1,2.314156632E0,2.962445033E-1
1.399446917E0,8.296409637E-2,2.303403018E0,-4.979254961E-2
1.409424917E0,-2.361459437E-1,2.138681105E0,-1.533508319E-1
1.419403917E0,-4.511216046E-1,2.147986364E0,1.837885129E-1
1.429381917E0,-3.377171959E-1,2.145224140E0,3.499248666E-1
1.439359917E0,4.844783619E-2,2.001227099E0,4.547870779E-1
