"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.563125000E-3,6.780899048E-2,-1.633103943E-1,9.836794281E0
2.152112500E-2,7.005432129E-2,-1.643582153E-1,9.831106110E0
4.147912500E-2,5.643264771E-2,-1.607656860E-1,9.826016693E0
6.143712500E-2,5.927673340E-2,-1.597178650E-1,9.838440857E0
8.139412500E-2,5.852828979E-2,-1.655557251E-1,9.831405487E0
1.013521250E-1,6.122268677E-2,-1.571731567E-1,9.822274475E0
1.213101250E-1,5.852828979E-2,-1.522334290E-1,9.828262024E0
1.412671250E-1,5.718109131E-2,-1.625619507E-1,9.848919067E0
1.612251250E-1,5.388793945E-2,-1.525328064E-1,9.819430389E0
1.811831250E-1,5.598358154E-2,-1.619631958E-1,9.835297394E0
2.011411250E-1,5.807922363E-2,-1.585203552E-1,9.828411713E0
2.210991250E-1,5.912704468E-2,-1.681004333E-1,9.827214203E0
2.410561250E-1,5.942642212E-2,-1.574725342E-1,9.826316071E0
2.610146250E-1,5.792953491E-2,-1.606159973E-1,9.836195526E0
2.809726250E-1,5.254074097E-2,-1.642085266E-1,9.837842102E0
3.009296250E-1,6.496490479E-2,-1.454974365E-1,9.829609222E0
3.208876250E-1,6.092330933E-2,-1.499880981E-1,9.837842102E0
3.408456250E-1,5.104385376E-2,-1.595681763E-1,9.843829651E0
3.608036250E-1,6.466552734E-2,-1.568737793E-1,9.830207977E0
3.807606250E-1,6.002517700E-2,-1.591191101E-1,9.837393036E0
4.007186250E-1,6.152206421E-2,-1.570234680E-1,9.821076965E0
4.206766250E-1,6.541397095E-2,-1.505868530E-1,9.832153931E0
4.406346250E-1,5.388793945E-2,-1.555265808E-1,9.826914825E0
4.605916250E-1,6.256988525E-2,-1.516346741E-1,9.823621674E0
4.805496250E-1,5.658233643E-2,-1.541793823E-1,9.820029144E0
5.005076250E-1,6.601272583E-2,-1.669029236E-1,9.826316071E0
5.204656250E-1,5.583389282E-2,-1.646575928E-1,9.828860779E0
5.404226250E-1,5.927673340E-2,-1.571731567E-1,9.823771362E0
5.603806250E-1,5.074447632E-2,-1.654060364E-1,9.825717316E0
5.803386250E-1,5.703140259E-2,-1.492396545E-1,9.814640350E0
6.002966250E-1,6.242019653E-2,-1.613644409E-1,9.829160156E0
6.202536250E-1,7.080276489E-2,-1.562750244E-1,9.822573853E0
6.402116250E-1,6.047424316E-2,-1.559756470E-1,9.824220428E0
6.601696250E-1,5.912704468E-2,-1.654060364E-1,9.821376343E0
6.801276250E-1,6.256988525E-2,-1.679507446E-1,9.818382568E0
7.000846250E-1,6.256988525E-2,-1.639091492E-1,9.816885681E0
7.200426250E-1,5.987548828E-2,-1.630110168E-1,9.819580078E0
7.400006250E-1,5.059478760E-2,-1.595681763E-1,9.820029144E0
7.599586250E-1,6.556365967E-2,-1.543290710E-1,9.820029144E0
7.799166250E-1,6.032455444E-2,-1.520837402E-1,9.820328522E0
7.998736250E-1,6.137237549E-2,-1.493893433E-1,9.810149689E0
8.198316250E-1,5.313949585E-2,-1.619631958E-1,9.827663269E0
8.397896250E-1,5.134323120E-2,-1.597178650E-1,9.825268250E0
8.597476250E-1,6.256988525E-2,-1.495390320E-1,9.818532257E0
8.797046250E-1,6.960525513E-2,-1.579216003E-1,9.812844086E0
8.996626250E-1,6.182144165E-2,-1.498384094E-1,9.812095642E0
9.196206250E-1,5.882766724E-2,-1.472937012E-1,9.818532257E0
9.395786250E-1,5.927673340E-2,-1.619631958E-1,9.828860779E0
9.595356250E-1,5.583389282E-2,-1.529818726E-1,9.810898132E0
9.794936250E-1,6.361770630E-2,-1.549278259E-1,9.825268250E0
9.994516250E-1,5.703140259E-2,-1.505868530E-1,9.816436615E0
1.019409625E0,6.107299805E-2,-1.576222229E-1,9.818831635E0
1.039367625E0,6.137237549E-2,-1.579216003E-1,9.824070740E0
1.059324625E0,6.017486572E-2,-1.559756470E-1,9.816286926E0
1.079282625E0,5.703140259E-2,-1.541793823E-1,9.813293152E0
1.099240625E0,6.077362061E-2,-1.667532349E-1,9.818382568E0
1.119198625E0,5.104385376E-2,-1.514849854E-1,9.812544708E0
1.139156625E0,5.987548828E-2,-1.562750244E-1,9.806706848E0
1.159113625E0,5.777984619E-2,-1.555265808E-1,9.832153931E0
1.179071625E0,5.987548828E-2,-1.672023010E-1,9.811347198E0
1.199029625E0,5.867797852E-2,-1.688488770E-1,9.815837860E0
1.218987625E0,5.957611084E-2,-1.616638184E-1,9.828860779E0
1.238944625E0,5.613327026E-2,-1.498384094E-1,9.820627899E0
1.258903000E0,5.852828979E-2,-1.670526123E-1,9.813143463E0
1.278861000E0,6.002517700E-2,-1.612147522E-1,9.811796265E0
1.298819000E0,5.568420410E-2,-1.637594604E-1,9.815538483E0
1.318777000E0,6.765930176E-2,-1.546284485E-1,9.809401245E0
1.338734000E0,5.987548828E-2,-1.652563477E-1,9.816735992E0
1.358692000E0,5.897735596E-2,-1.493893433E-1,9.810748444E0
1.378650000E0,5.224136353E-2,-1.585203552E-1,9.804910583E0
1.398608000E0,6.122268677E-2,-1.609153748E-1,9.825118561E0
1.418566000E0,6.301895142E-2,-1.586700439E-1,9.814939728E0
1.438524000E0,6.271957397E-2,-1.675016785E-1,9.817484436E0
1.458481000E0,6.032455444E-2,-1.547781372E-1,9.824220428E0
1.478439000E0,6.077362061E-2,-1.645079041E-1,9.816286926E0
1.498397000E0,5.733078003E-2,-1.574725342E-1,9.817185059E0
1.518355000E0,6.286926270E-2,-1.499880981E-1,9.809850311E0
1.538313000E0,5.882766724E-2,-1.510359192E-1,9.823771362E0
1.558271000E0,5.897735596E-2,-1.553768921E-1,9.816286926E0
1.578228000E0,5.897735596E-2,-1.622625732E-1,9.824968872E0
1.598186000E0,5.748046875E-2,-1.639091492E-1,9.812395020E0
1.618144000E0,6.032455444E-2,-1.466949463E-1,9.822873230E0
1.638102000E0,6.406677246E-2,-1.582209778E-1,9.819580078E0
1.658060000E0,6.167175293E-2,-1.510359192E-1,9.811047821E0
1.678018000E0,5.463638306E-2,-1.658551025E-1,9.828112335E0
1.697975000E0,5.014572144E-2,-1.565744019E-1,9.816586304E0
1.717933000E0,6.212081909E-2,-1.576222229E-1,9.822124786E0
1.737891000E0,6.107299805E-2,-1.582209778E-1,9.820478210E0
1.757849000E0,5.478607178E-2,-1.610650635E-1,9.819879456E0
1.777807000E0,5.792953491E-2,-1.619631958E-1,9.815538483E0
1.797765000E0,6.421646118E-2,-1.595681763E-1,9.817484436E0
1.817723000E0,5.673202515E-2,-1.531315613E-1,9.812993774E0
1.837680000E0,5.912704468E-2,-1.537303162E-1,9.808353424E0
1.857638000E0,5.927673340E-2,-1.474433899E-1,9.822723541E0
1.877596000E0,6.346801758E-2,-1.634600830E-1,9.830357666E0
1.897554000E0,5.987548828E-2,-1.526824951E-1,9.822274475E0
1.917512000E0,6.122268677E-2,-1.574725342E-1,9.829010468E0
1.937470000E0,6.212081909E-2,-1.589694214E-1,9.821526031E0
1.957428000E0,5.613327026E-2,-1.600172424E-1,9.805958405E0
1.977385000E0,6.361770630E-2,-1.615141296E-1,9.814939728E0
1.997343000E0,6.286926270E-2,-1.579216003E-1,9.819131012E0
2.017301000E0,5.927673340E-2,-1.564247131E-1,9.823172607E0
2.037259000E0,6.182144165E-2,-1.523831177E-1,9.819430389E0
2.057217000E0,5.538482666E-2,-1.597178650E-1,9.817783813E0
2.077175000E0,6.242019653E-2,-1.625619507E-1,9.818532257E0
2.097133000E0,6.855743408E-2,-1.586700439E-1,9.830058289E0
2.117090000E0,5.822891235E-2,-1.528321838E-1,9.818232880E0
2.137048000E0,5.643264771E-2,-1.483415222E-1,9.821226654E0
2.157006000E0,5.942642212E-2,-1.549278259E-1,9.806706848E0
2.176964000E0,6.616241455E-2,-1.546284485E-1,9.816735992E0
2.196922000E0,5.972579956E-2,-1.628613281E-1,9.831106110E0
2.216880000E0,5.867797852E-2,-1.552272034E-1,9.816586304E0
2.236838000E0,6.212081909E-2,-1.579216003E-1,9.819280701E0
2.256795250E0,6.301895142E-2,-1.553768921E-1,9.820478210E0
2.276752250E0,5.673202515E-2,-1.463955688E-1,9.809850311E0
2.296710250E0,5.912704468E-2,-1.666035461E-1,9.823621674E0
2.316668250E0,6.197113037E-2,-1.607656860E-1,9.826765137E0
2.336626250E0,5.718109131E-2,-1.486408997E-1,9.816137238E0
2.356584250E0,5.867797852E-2,-1.631607056E-1,9.816735992E0
2.376542250E0,5.224136353E-2,-1.564247131E-1,9.834998016E0
2.396500250E0,5.942642212E-2,-1.648072815E-1,9.816885681E0
2.416458250E0,6.137237549E-2,-1.616638184E-1,9.823022919E0
2.436416250E0,6.062393188E-2,-1.570234680E-1,9.820178833E0
2.456374250E0,5.328918457E-2,-1.588197327E-1,9.820627899E0
2.476331250E0,5.209167480E-2,-1.610650635E-1,9.819729767E0
2.496289250E0,5.748046875E-2,-1.585203552E-1,9.828411713E0
2.516247250E0,6.212081909E-2,-1.451980591E-1,9.830806732E0
2.536205250E0,5.763015747E-2,-1.639091492E-1,9.822723541E0
2.556163250E0,5.658233643E-2,-1.692979431E-1,9.826914825E0
2.576121250E0,5.523513794E-2,-1.465452576E-1,9.813442841E0
2.596079250E0,5.388793945E-2,-1.648072815E-1,9.833950195E0
2.616037250E0,6.212081909E-2,-1.535806274E-1,9.825867004E0
2.635995250E0,5.313949585E-2,-1.457968140E-1,9.824220428E0
2.655953250E0,5.298980713E-2,-1.619631958E-1,9.818232880E0
2.675910250E0,6.197113037E-2,-1.558259583E-1,9.819430389E0
2.695868250E0,6.975494385E-2,-1.652563477E-1,9.815388794E0
2.715826250E0,5.463638306E-2,-1.550775146E-1,9.810598755E0
2.735784250E0,6.496490479E-2,-1.597178650E-1,9.812544708E0
2.755742250E0,5.568420410E-2,-1.631607056E-1,9.817933502E0
2.775700250E0,6.271957397E-2,-1.585203552E-1,9.819280701E0
2.795658250E0,5.882766724E-2,-1.558259583E-1,9.820927277E0
2.815616250E0,6.137237549E-2,-1.510359192E-1,9.823172607E0
2.835574250E0,6.062393188E-2,-1.570234680E-1,9.818681946E0
2.855532250E0,5.119354248E-2,-1.610650635E-1,9.821825409E0
2.875490250E0,6.197113037E-2,-1.631607056E-1,9.823322296E0
2.895448250E0,5.703140259E-2,-1.616638184E-1,9.825867004E0
2.915406250E0,6.107299805E-2,-1.487905884E-1,9.824819183E0
2.935363250E0,5.628295898E-2,-1.556762695E-1,9.808503113E0
2.955321250E0,5.628295898E-2,-1.642085266E-1,9.811646576E0
2.975279250E0,5.777984619E-2,-1.625619507E-1,9.829010468E0
2.995237250E0,6.077362061E-2,-1.631607056E-1,9.816586304E0
3.015195250E0,5.777984619E-2,-1.654060364E-1,9.821226654E0
3.035153250E0,6.691085815E-2,-1.594184875E-1,9.813742218E0
3.055111250E0,5.987548828E-2,-1.507365417E-1,9.825867004E0
3.075069250E0,5.119354248E-2,-1.645079041E-1,9.821226654E0
3.095027250E0,5.763015747E-2,-1.546284485E-1,9.812095642E0
3.114985250E0,5.553451538E-2,-1.534309387E-1,9.830956421E0
3.134943250E0,5.568420410E-2,-1.672023010E-1,9.815538483E0
3.154901250E0,6.137237549E-2,-1.601669312E-1,9.822274475E0
3.174859250E0,5.313949585E-2,-1.570234680E-1,9.827513580E0
3.194817250E0,5.748046875E-2,-1.496887207E-1,9.828860779E0
3.214775250E0,6.960525513E-2,-1.666035461E-1,9.828860779E0
3.234733250E0,5.628295898E-2,-1.610650635E-1,9.820178833E0
3.254691250E0,5.852828979E-2,-1.594184875E-1,9.818382568E0
3.274649250E0,5.448669434E-2,-1.616638184E-1,9.823471985E0
3.294607250E0,6.301895142E-2,-1.484912109E-1,9.835746460E0
3.314565250E0,6.167175293E-2,-1.558259583E-1,9.826166382E0
3.334523250E0,6.197113037E-2,-1.544787598E-1,9.822124786E0
3.354481250E0,6.017486572E-2,-1.481918335E-1,9.819280701E0
3.374439250E0,6.286926270E-2,-1.613644409E-1,9.814490662E0
3.394397250E0,5.343887329E-2,-1.642085266E-1,9.823172607E0
3.414355250E0,5.867797852E-2,-1.492396545E-1,9.824220428E0
3.434313250E0,5.748046875E-2,-1.615141296E-1,9.826615448E0
3.454271250E0,5.792953491E-2,-1.565744019E-1,9.833950195E0
3.474229250E0,5.972579956E-2,-1.505868530E-1,9.814041595E0
3.494187250E0,5.448669434E-2,-1.585203552E-1,9.822723541E0
3.514145250E0,6.316864014E-2,-1.589694214E-1,9.819879456E0
3.534103250E0,5.942642212E-2,-1.607656860E-1,9.826465759E0
3.554061250E0,5.553451538E-2,-1.531315613E-1,9.817334747E0
3.574019250E0,6.691085815E-2,-1.595681763E-1,9.818981323E0
3.593977250E0,5.852828979E-2,-1.549278259E-1,9.820328522E0
3.613935250E0,5.942642212E-2,-1.573228455E-1,9.822723541E0
3.633893250E0,5.763015747E-2,-1.582209778E-1,9.821376343E0
3.653851250E0,5.733078003E-2,-1.529818726E-1,9.819131012E0
3.673809250E0,6.586303711E-2,-1.588197327E-1,9.822873230E0
3.693767250E0,5.388793945E-2,-1.618135071E-1,9.808353424E0
3.713725250E0,5.792953491E-2,-1.460961914E-1,9.823621674E0
3.733683250E0,6.406677246E-2,-1.597178650E-1,9.814041595E0
3.753641250E0,6.167175293E-2,-1.552272034E-1,9.817634125E0
3.773599250E0,6.721023560E-2,-1.676513672E-1,9.815688171E0
3.793556250E0,6.421646118E-2,-1.543290710E-1,9.815837860E0
