"Time (ms)","Recording (a.u.)"
0.000000000E0,9.409604594E-3
2.083412250E-2,2.444291115E-2
4.166824501E-2,3.707905486E-2
6.250236751E-2,4.461147636E-2
8.333649002E-2,5.088123679E-2
1.041706125E-1,5.850050598E-2
1.250047350E-1,6.742043793E-2
1.458388575E-1,7.874362916E-2
1.666729800E-1,9.092237055E-2
1.875071025E-1,1.019536927E-1
2.083412250E-1,1.113137305E-1
2.291753476E-1,1.183131933E-1
2.500094701E-1,1.236969829E-1
2.708435926E-1,1.315565705E-1
2.916777151E-1,1.420714557E-1
3.125118376E-1,1.494999677E-1
3.333459601E-1,1.518057138E-1
3.541800826E-1,1.526618600E-1
3.750142051E-1,1.554586440E-1
3.958483276E-1,1.569709182E-1
4.166824501E-1,1.539944857E-1
4.375165726E-1,1.514578462E-1
4.583506951E-1,1.536301374E-1
4.791848176E-1,1.598316133E-1
5.000189401E-1,1.687472910E-1
5.208530626E-1,1.760710776E-1
5.416871851E-1,1.793216169E-1
5.625213076E-1,1.822044402E-1
5.833554301E-1,1.884495616E-1
6.041895526E-1,1.970237494E-1
6.250236751E-1,2.001627982E-1
6.458577976E-1,1.950344443E-1
6.666919201E-1,1.894034892E-1
6.875260427E-1,1.892666966E-1
7.083601652E-1,1.941086799E-1
7.291942877E-1,1.988252699E-1
7.500284102E-1,1.983843446E-1
7.708625327E-1,1.961618811E-1
7.916966552E-1,1.964268386E-1
8.125307777E-1,1.970237792E-1
8.333649002E-1,1.968767196E-1
8.541990227E-1,1.960922629E-1
8.750331452E-1,1.938852668E-1
8.958672677E-1,1.885133982E-1
9.167013902E-1,1.790425032E-1
9.375355127E-1,1.682440042E-1
9.583696352E-1,1.566371620E-1
9.792037577E-1,1.431021392E-1
1.000037880E0,1.299556047E-1
1.020872003E0,1.164243519E-1
1.041706125E0,1.013200805E-1
1.062540248E0,8.738879114E-2
1.083374370E0,7.519048452E-2
1.104208493E0,6.385315210E-2
1.125042615E0,5.111111701E-2
1.145876738E0,3.713024408E-2
1.166710860E0,2.478531934E-2
1.187544983E0,1.538874768E-2
1.208379105E0,1.147545688E-2
1.229213228E0,1.134389825E-2
1.250047350E0,1.418796461E-2
1.270881473E0,2.172306180E-2
1.291715595E0,2.889075503E-2
1.312549718E0,2.979672514E-2
1.333383840E0,2.206404507E-2
1.354217963E0,1.079475880E-2
1.375052085E0,1.499463455E-3
1.395886208E0,-8.572682738E-3
1.416720330E0,-2.109338343E-2
1.437554453E0,-3.409431130E-2
1.458388575E0,-4.276333377E-2
1.479222698E0,-4.594648629E-2
1.500056820E0,-5.013035983E-2
1.520890943E0,-5.779933929E-2
1.541725065E0,-6.604457647E-2
1.562559188E0,-7.076448947E-2
1.583393310E0,-6.909160316E-2
1.604227433E0,-6.291802973E-2
1.625061555E0,-5.869163200E-2
1.645895678E0,-6.271378696E-2
1.666729800E0,-7.264234871E-2
1.687563923E0,-7.740121335E-2
1.708398045E0,-7.084978372E-2
1.729232168E0,-6.340785325E-2
1.750066290E0,-6.866706908E-2
1.770900413E0,-8.533027768E-2
1.791734535E0,-1.016985923E-1
1.812568658E0,-1.104332507E-1
1.833402780E0,-1.157911569E-1
1.854236903E0,-1.191744059E-1
1.875071025E0,-1.150838733E-1
1.895905148E0,-1.038789228E-1
1.916739270E0,-9.024356306E-2
1.937573393E0,-8.264066279E-2
1.958407515E0,-8.678953350E-2
1.979241638E0,-9.574300051E-2
2.000075760E0,-9.838854522E-2
2.020909883E0,-9.012628347E-2
2.041744005E0,-7.462060452E-2
2.062578128E0,-6.068859622E-2
2.083412250E0,-5.504530668E-2
2.104246373E0,-5.762613565E-2
2.125080495E0,-6.053747237E-2
2.145914618E0,-5.672972277E-2
2.166748740E0,-5.090793595E-2
2.187582863E0,-5.119474605E-2
2.208416985E0,-6.006322056E-2
2.229251108E0,-7.265868038E-2
2.250085231E0,-7.948333025E-2
2.270919353E0,-7.740678638E-2
2.291753476E0,-7.272050530E-2
2.312587598E0,-7.138065994E-2
2.333421721E0,-7.273203135E-2
2.354255843E0,-7.196596265E-2
2.375089966E0,-6.705399603E-2
2.395924088E0,-5.998324975E-2
2.416758211E0,-5.042588711E-2
2.437592333E0,-4.120584205E-2
2.458426456E0,-3.711174428E-2
2.479260578E0,-3.607355058E-2
2.500094701E0,-3.402999789E-2
2.520928823E0,-2.809021436E-2
2.541762946E0,-2.108527347E-2
2.562597068E0,-1.716054790E-2
2.583431191E0,-1.672036946E-2
2.604265313E0,-2.042993158E-2
2.625099436E0,-2.390048653E-2
2.645933558E0,-2.590355091E-2
2.666767681E0,-2.935055643E-2
2.687601803E0,-3.460656106E-2
2.708435926E0,-3.942673653E-2
2.729270048E0,-3.682354465E-2
2.750104171E0,-2.702460252E-2
2.770938293E0,-1.439860743E-2
2.791772416E0,-1.759261009E-3
2.812606538E0,8.415774442E-3
2.833440661E0,1.531426143E-2
2.854274783E0,1.429596730E-2
2.875108906E0,8.748542517E-3
2.895943028E0,8.836525492E-3
2.916777151E0,1.650832966E-2
2.937611273E0,2.571338601E-2
2.958445396E0,2.925486490E-2
2.979279518E0,3.096311539E-2
3.000113641E0,3.781598434E-2
3.020947763E0,4.667284340E-2
3.041781886E0,5.083449185E-2
3.062616008E0,4.853770882E-2
3.083450131E0,4.644168168E-2
3.104284253E0,5.282447115E-2
3.125118376E0,6.913252920E-2
3.145952498E0,8.757343888E-2
3.166786621E0,9.796704352E-2
3.187620743E0,1.011851504E-1
3.208454866E0,1.029888839E-1
3.229288988E0,1.028815955E-1
3.250123111E0,9.635794908E-2
