"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.312062499E-2,-2.143077627E-3,4.975315399E-2,5.570817769E-2
2.310162497E-2,-6.924930587E-3,4.013106728E-2,5.341957748E-2
3.308162495E-2,-4.203344062E-3,2.308795027E-2,2.677732408E-2
4.306262499E-2,4.126599357E-3,1.708232990E-2,2.738251090E-2
5.304362497E-2,1.185530283E-2,-2.726885565E-3,3.560135722E-2
6.302462495E-2,2.506379753E-2,-1.773237582E-2,3.049439907E-2
7.300562499E-2,4.377539925E-2,-2.411314990E-2,4.651518524E-2
8.298662497E-2,4.926622711E-2,-3.477448784E-2,5.252495348E-2
9.296762495E-2,3.714619160E-2,-2.312696217E-2,4.745190918E-2
1.029486250E-1,3.107539304E-2,-4.301175289E-4,3.962658048E-2
1.129296250E-1,-3.633313626E-4,1.643904481E-2,2.243108869E-2
1.229106250E-1,-2.909428328E-2,1.911049146E-2,1.315974355E-2
1.328916250E-1,-4.741090558E-2,2.952752542E-3,4.077321947E-2
1.428726250E-1,-5.696196690E-2,-4.492269605E-3,6.315460682E-2
1.528526249E-1,-5.292307578E-2,-2.684332453E-2,9.192933977E-2
1.628336250E-1,-3.528348796E-2,-4.552377155E-2,1.134944558E-1
1.728146250E-1,-1.709221534E-2,-6.169877803E-2,1.502418673E-1
1.827956249E-1,-1.407073975E-2,-5.117008053E-2,1.508529013E-1
1.927766250E-1,-4.613482386E-2,-3.579674559E-2,1.083038825E-1
2.027576250E-1,-4.513743505E-2,-6.320237126E-3,3.122354686E-2
2.127386249E-1,-4.198527418E-2,2.851005508E-2,-5.506322980E-3
2.227196250E-1,-2.211723939E-2,5.188154049E-2,2.128912747E-2
2.327006250E-1,1.620826252E-2,5.919233250E-2,6.345690787E-2
2.426816249E-1,4.007930115E-2,4.218745993E-2,9.921438575E-2
2.526626250E-1,3.740975484E-2,4.212591799E-2,7.895085990E-2
2.626426250E-1,2.724970601E-2,4.050839541E-2,-2.427296162E-2
2.726236250E-1,2.742307596E-2,4.585912764E-2,-1.378399229E-1
2.826046250E-1,3.029515520E-2,5.313481808E-2,-1.547366220E-1
2.925856250E-1,2.911716051E-2,5.600472288E-2,-5.956032336E-2
3.025666250E-1,2.060902320E-2,6.240384260E-2,7.419181108E-2
3.125476250E-1,-1.521321259E-2,4.917177631E-2,1.957460690E-1
3.225286250E-1,-5.788151465E-2,2.904068990E-2,2.538399106E-1
3.325096249E-1,-1.032488915E-1,-1.043815702E-2,2.288459873E-1
3.424906250E-1,-1.122623013E-1,-5.042099738E-2,1.867723471E-1
3.524716250E-1,-1.107698726E-1,-6.519153921E-2,1.180745798E-1
3.624516250E-1,-1.111319614E-1,-4.808223903E-2,6.249211729E-2
3.724326250E-1,-8.206866838E-2,-1.130802171E-2,1.147925377E-2
3.824136250E-1,-2.982379653E-2,3.405164408E-2,-1.819887400E-2
3.923946250E-1,2.663837962E-2,5.985487685E-2,-3.644861877E-2
4.023756250E-1,7.483844005E-2,7.319155348E-2,-3.207197785E-2
4.123566250E-1,1.106416724E-1,7.859491065E-2,-1.547991872E-2
4.223376250E-1,1.285634615E-1,5.036685582E-2,2.466647923E-2
4.323186250E-1,1.273812275E-1,3.135401286E-2,5.265943944E-2
4.422996250E-1,1.082163204E-1,1.836372893E-2,8.828710914E-2
4.522806250E-1,8.208694093E-2,3.432023227E-3,9.463075340E-2
4.622606250E-1,6.197471179E-2,-7.639222797E-3,1.076279444E-1
4.722416250E-1,3.772608921E-2,-1.616603466E-2,9.754559040E-2
4.822226250E-1,1.250522085E-2,-2.714149598E-2,8.740359485E-2
4.922036250E-1,-6.252354607E-3,-3.571567029E-2,6.851007164E-2
5.021846250E-1,-2.190469310E-2,-5.181071609E-2,6.788617373E-2
5.121656250E-1,-1.163332790E-2,-5.775508689E-2,5.125669241E-2
5.221466250E-1,1.216352418E-2,-6.256679719E-2,3.330164731E-2
5.321276250E-1,2.247750096E-2,-4.659943996E-2,-1.196808100E-2
